Subject,Release,Acquisition,Gender,Age,PicVocab_AgeAdj,ProcSpeed_AgeAdj,AngAffect_Unadj,AngHostil_Unadj,AngAggr_Unadj,FearAffect_Unadj,FearSomat_Unadj,Sadness_Unadj,LifeSatisf_Unadj,MeanPurp_Unadj,PosAffect_Unadj,Friendship_Unadj,Loneliness_Unadj
100004,S900,Q06,M,22-25,104.9375,69.88,49.3,62.2,52.2,51.2,57.3,53.7,43.1,40.1,36.2,27.6,73
100206,S900,Q11,M,26-30,117.0361,131.89,54.8,61.7,43.4,63.3,61.2,55,45.6,50,48.4,45.7,63.8
100307,Q1,Q01,F,26-30,96.81,112.36,46.9,60.8,43.4,53.9,47.2,53.4,48,42.4,46.2,62,53.7
100408,Q3,Q03,M,31-35,132.63,96,50.6,42.8,59.9,55.1,54.7,49.9,57.7,51.9,48.4,52.9,51.9
100610,S900,Q08,M,26-30,146.5971,96.12,47.5,49.1,43.4,49.6,55.3,44.2,60.1,46.8,55.1,44.9,53.5
101006,S500,Q06,F,31-35,69.45302,71.99,59,49,49.8,49.3,40.1,48.7,46.5,48.1,42,57.1,50.3
101107,S500,Q06,M,22-25,116.9699,97.87,51.9,52.3,77.2,48.4,61.4,48.1,47,61.3,59.2,66.5,52
101309,S500,Q06,M,26-30,121.3679,87.33,38.3,36.6,54.3,43.3,40.1,38.5,48.5,71.6,52.8,53.3,46.4
101410,S500,Q06,M,26-30,99.97051,91.83,44.2,55.9,63.4,51.2,52.2,42.7,57.1,50,50.2,66.5,53.7
101612,S900,Q11,F,26-30,86.64886,120.69,51.3,52.9,49.8,51.2,60,45.6,64.5,55.9,48.1,52.3,44.9
101915,Q3,Q04,F,31-35,113.17,90.69,43.9,40.5,60.8,49,53,42.7,70.6,71.6,62.4,49.8,47.7
102008,S500,Q06,M,22-25,123.7913,130.65,50.2,40.9,57.8,52.9,66,44.7,62.8,68.1,63.6,55.2,53.7
102311,S500,Q06,F,26-30,112.16,68.81,39.1,48.9,43.4,44.9,44.8,51,52.6,51.6,41.7,40.3,58.1
102513,S900,Q10,M,26-30,112.5362,46.07,51.8,36.6,57,49.3,54.3,49.9,47.9,41.2,50.2,49.8,49.6
102816,Q3,Q03,F,26-30,75.35,93.01,55.9,36.6,43.4,51.4,51.8,46.1,48.2,58.2,52.7,51.8,50.2
103111,S500,Q06,M,26-30,114.8949,81.57,50.1,36.6,49.8,49.6,44.8,45.8,55,62.9,50.2,46.9,37.6
103414,Q2,Q02,F,22-25,99.8,94.9,44.2,47.7,43.4,49,50.5,41.7,57.1,53.6,50.2,61.3,37.6
103515,Q1,Q02,F,26-30,87.36,82.95,67.9,70.9,74.2,51.2,60.6,52.9,24.2,31.8,25.4,34.5,65.7
103818,Q1,Q01,F,31-35,128.16,95.98,49.8,46,43.4,52.9,46.3,49.9,43,32.7,44.4,36.6,62.1
104012,MEG2,Q07,F,26-30,97.16158,92.66,43.8,47.1,49.8,50.7,44.8,45,59.7,55.8,48.4,53.6,47.4
104113,S900,Q9,M,26-30,91.42853,96.12,47.5,51.5,62,51.2,40.1,55,45.5,42.4,50.2,49.8,49.6
104416,S900,Q9,F,31-35,118.1042,133.66,48.4,38,43.4,51.2,44.8,43.9,62.8,61.2,63.2,66.5,37.6
104820,S500,Q06,F,36+,76.44249,111.48,57.1,36.6,49.8,44.5,40.1,46.1,43,49.1,50.1,66.5,37.6
105014,S500,Q05,F,26-30,110.52,67.35,42.8,45.4,43.4,51.4,40.1,41.9,65.8,63.2,52.7,45.6,50.4
105115,Q2,Q02,M,31-35,113.4,91.59,51.8,52.3,57.5,51.2,55.9,55,55,40.4,46.5,39.5,56.2
105216,Q3,Q03,M,26-30,126.51,116.84,54.3,48.4,50.8,58,56.8,55.2,51.1,33.6,40.3,37.7,67.3
105620,S900,Q08,F,31-35,111.403,117.3,46.2,60.8,52.5,44.3,44.8,41.7,57.1,43.9,50.2,46,63.8
105923,MEG2,Q07,F,31-35,103.9747,53.53,41.9,49.3,57.9,49.6,51,39.1,54.4,48.1,52.4,50.6,52
106016,Q3,Q04,F,31-35,104.75,110.4,46,51.4,56,49.6,40.1,48.1,57.7,51.9,50.2,43.9,54.9
106218,S900,Q9,M,26-30,79.46663,88.33,28.6,36.6,43.4,32.9,59.2,34.2,60.1,66.5,58.6,57.8,37.6
106319,Q3,Q03,M,26-30,126.74,72.39,57,48,43.4,61.5,55.9,63.4,43,33.6,41.7,43,62.6
106521,S500,Q06,F,26-30,124.2095,137.14,32,58.6,56.5,47.2,50.4,45.7,45.4,43.6,45,59,52.1
107018,S900,Q9,F,26-30,119.3654,103.13,48,40.9,43.4,46.7,51.5,41.7,60.1,50,54.2,53.4,49.6
107119,S900,Q07,M,36+,114.0253,78.35,57.3,58.9,57.4,59.7,60.7,55,47.2,59.5,52.1,30,65.2
107220,S900,Q11,F,26-30,120.5509,85.5,53.9,40.9,43.4,57.6,64,51.3,49.6,57.9,42,54.6,47.4
107321,S500,Q04,F,22-25,130.2,119.6,47.7,46.2,60,49.6,57.4,43.6,46.8,36.7,42,56.4,59.3
107422,S500,Q07,M,22-25,134.2571,119.78,45.1,46.3,43.4,51.2,44.8,39.6,55,46,50.2,48.7,53.7
107523,S900,Q11,M,22-25,83.08688,59.9,67.9,59.5,83.1,44.7,44.8,43.1,36.4,41.1,37.1,57.8,59.9
107725,S900,Q08,F,31-35,76.41906,95.29,54.1,50.4,43.4,60.6,54.8,54.3,42,51.9,45.9,55.1,44.9
108121,S500,Q04,F,26-30,113.17,101.64,49,52.1,43.4,51.2,56.2,49.9,57.1,50,50.2,49.8,53.7
108222,S900,Q07,M,31-35,122.2386,105.92,48.2,47.6,57,53.9,46.5,46.1,57.1,39.9,50.2,43.2,52
108323,S500,Q04,F,26-30,105.76,108.45,47.1,59.5,56.5,46,46.4,45.6,62.8,57.8,49.6,51.9,51.8
108525,S500,Q05,M,22-25,95.11,63.49,46.1,36.6,61.2,45.3,52.1,48.1,47.2,50,50.2,66.5,37.6
108828,S500,Q05,M,31-35,109.34,105.62,64.7,73.6,63.1,70.4,63.3,65.8,36.7,46.2,29.8,38.8,73.7
109123,S500,Q06,M,31-35,126.0032,131.33,51.1,61.8,67.8,49,53,48.5,43.3,34.8,44.4,41.5,73
109325,S500,Q07,M,31-35,97.06145,133.66,36,42.8,49.8,40.4,63.4,34.2,57.1,50,50.2,49.8,53.7
109830,S900,Q08,F,31-35,121.8716,72.46,42.4,49.8,43.4,52.9,44.8,46.7,55,53.9,42,54.3,53.7
110007,S900,Q11,F,31-35,101.9936,93.58,40.4,40.9,43.4,32.9,40.1,34.2,74.6,55.7,52.7,66.5,44.9
110411,Q2,Q02,M,31-35,120.91,119.17,44.2,45,43.4,49,46.4,34.2,57.1,45.3,52.7,58.2,44.9
110613,S900,Q11,M,26-30,118.8021,66.72,33.6,40.5,43.4,42.6,51.4,34.2,59.7,50,56.4,66.5,44.9
111009,S900,Q03,F,26-30,153.0889,63.58,57.3,51.7,43.4,55.7,46.3,49.9,65.8,60.4,50.2,44.1,61
111312,Q1,Q01,F,31-35,90.92,113.41,32,42.8,51.2,52.9,46.3,34.2,55,43.9,50.2,45.4,54.7
111413,S500,Q04,F,26-30,101.2,101.57,56.8,61.2,43.4,57.7,58,60.5,41.2,50,48.1,62,62.1
111514,MEG2,Q02,M,31-35,147.5815,116.89,44.2,55.5,60.6,41.2,54.4,34.2,49.8,46,38.4,49.8,51.6
111716,Q3,Q04,F,31-35,116.05,90.75,66.9,54.8,51.2,46.6,75.5,44.9,57.1,64.3,55.3,60.5,44.9
112112,S900,Q11,M,26-30,121.0448,99.57,28.6,51.7,43.4,46,44.8,34.2,62.8,60,62.4,62,52
112314,S900,Q11,F,26-30,113.2405,100.43,49.8,63,43.4,58,51,49.9,50.9,55.6,52.7,44,52.1
112516,S900,Q08,F,31-35,108.9958,102.2,52.2,45.1,43.4,56,46.3,43.4,71.9,65.5,50.2,53.2,44.9
112819,Q3,Q03,F,26-30,126.47,69.72,46,50,59.3,49.3,54.7,39.4,68.2,57.7,54.2,53.8,47.7
112920,S900,Q10,M,31-35,116.6878,91.83,47.5,54.2,49.8,41.5,40.1,51.3,65.6,59.5,55.1,53.3,52
113215,Q3,Q03,F,26-30,117.54,120.15,63.9,59.4,59.6,58.3,59.6,53.5,52,43.5,44.1,48.7,47.4
113619,Q2,Q02,F,31-35,124.75,103.5,52.1,36.6,43.4,54.2,46.4,48.2,67.8,61.1,46,66.5,47.7
113821,S500,Q05,F,26-30,111.04,68.08,39.5,50.9,43.4,40.2,46.5,47.2,49.3,45.8,47.2,46.6,62.1
113922,S500,Q04,M,31-35,98.52,114,50.9,56.6,52.2,46,40.1,45.8,47.9,46.1,54.1,47.6,53.7
114217,S900,Q08,F,26-30,105.5423,120.69,35.6,36.6,43.4,32.9,40.1,34.2,66.9,63.7,50.2,61.4,37.6
114318,S900,Q06,F,22-25,101.9079,129.22,53.4,45.8,43.4,60.5,60,48.2,50.5,52.2,44.4,61.9,53.8
