r: -0.086370932305332, Variable: 3T_Full_MR_Compl
r: -0.07795596064071912, Variable: T1_Count
r: -0.010203981478233254, Variable: 3T_tMRI_PctCompl
r: -0.011162498971657423, Variable: fMRI_WM_PctCompl
r:  0.016505383686386366, Variable: fMRI_Gamb_PctCompl
r: -0.018678557493853554, Variable: fMRI_Lang_PctCompl
r:  0.012607965947558418, Variable: fMRI_Rel_PctCompl
r:  0.49469766281750555, Variable: MEGsession_Label
r:  0.5180725385242004, Variable: Alpha_Peak
r: -0.02846181897661961, Variable: Beta_Peak
r:  0.14382268177293667, Variable: MMSE_Score
r:  0.06885305397485672, Variable: PSQI_BedTime
r: -0.16631858770451816, Variable: PSQI_GetUpTime
r:  0.12961334509749084, Variable: PSQI_AmtSleep
r:  0.09967242749528779, Variable: PSQI_Latency30Min
r:  0.08536731977730437, Variable: PSQI_WakeUp
r:  0.17080393182971648, Variable: PSQI_Bathroom
r:  0.07016277485169897, Variable: PSQI_Breathe
r:  0.09226294481352358, Variable: PSQI_Snore
r:  0.14574223806733838, Variable: PSQI_TooCold
r:  0.08266542744800327, Variable: PSQI_TooHot
r:  0.06220525485235177, Variable: PSQI_BadDream
r: -0.011443874186136061, Variable: PSQI_Pain
r:  0.1060129193019517, Variable: PSQI_Other
r:  0.06885704727738948, Variable: PSQI_Quality
r:  0.05416272853063902, Variable: PSQI_SleepMeds
r:  0.04218048658723581, Variable: PSQI_DayStayAwake
r: -0.03649318881906073, Variable: PSQI_DayEnthusiasm
r: -0.04736114743627763, Variable: PSQI_BedPtnrRmate
r: -0.05154906058804731, Variable: PicSeq_Unadj
r: -0.03659499800198794, Variable: PicSeq_AgeAdj
r: -0.05029362769747594, Variable: CardSort_Unadj
r: -0.08039923974523691, Variable: CardSort_AgeAdj
r: -0.0897907846112659, Variable: Flanker_Unadj
r:  0.012196280300886183, Variable: PMAT24_A_CR
r:  0.08931109476867614, Variable: PMAT24_A_SI
r: -0.06256588185208459, Variable: PMAT24_A_RTCR
r: -0.06552278043499055, Variable: ReadEng_Unadj
r: -0.08535944147146862, Variable: ReadEng_AgeAdj
r: -0.0847803402224422, Variable: PicVocab_Unadj
r: -0.10706733096649663, Variable: PicVocab_AgeAdj
r: -0.10458823604729531, Variable: ProcSpeed_Unadj
r: -0.025648555605977733, Variable: ProcSpeed_AgeAdj
r: -0.06337945700080923, Variable: DDisc_SV_1mo_200
